symbol,symbolName,lastPrice,priceChange,percentChange,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"SGEN","Seagen Inc","215.00","+0.21","+0.10%","215.80","214.70","958,500","11/03/23","STK","Yes","1","[object Object]"
"SIRI","Sirius XM Holdings","4.95","+0.30","+6.45%","5.07","4.72","17,491,701","11/03/23","STK","Yes","1","[object Object]"
"SNPS","Synopsys Inc","487.94","+9.30","+1.94%","492.24","480.62","710,600","11/03/23","STK","Yes","1","[object Object]"
"TEAM","Atlassian Corp","176.90","-4.50","-2.48%","180.74","165.51","4,145,200","11/03/23","STK","Yes","1","[object Object]"
"TMUS","T-Mobile US","147.49","+0.99","+0.68%","148.18","146.75","4,323,800","11/03/23","STK","Yes","1","[object Object]"
"TSLA","Tesla Inc","219.96","+1.45","+0.66%","226.37","218.40","119,534,703","11/03/23","STK","Yes","1","[object Object]"
"TTD","Trade Desk Inc","79.08","+3.40","+4.49%","80.07","76.50","4,709,300","11/03/23","STK","Yes","1","[object Object]"
"TXN","Texas Instruments","150.23","+2.92","+1.98%","151.59","149.08","5,818,900","11/03/23","STK","Yes","1","[object Object]"
"VRSK","Verisk Analytics Inc","230.62","+0.75","+0.33%","233.71","228.15","967,200","11/03/23","STK","Yes","1","[object Object]"
"VRTX","Vertex Pharmaceutic","376.20","-0.35","-0.09%","381.00","375.85","1,456,900","11/03/23","STK","Yes","1","[object Object]"
"WBA","Walgreens Boots Alliance","22.11","+0.61","+2.84%","22.22","21.64","8,377,700","11/03/23","STK","Yes","1","[object Object]"
"WBD","Discovery Inc Series A","11.77","+0.69","+6.23%","11.88","11.38","25,064,600","11/03/23","STK","Yes","1","[object Object]"
"WDAY","Workday Inc","218.41","+5.49","+2.58%","220.95","211.63","1,381,400","11/03/23","STK","Yes","1","[object Object]"
"XEL","XCEL Energy Inc","61.03","-0.04","-0.07%","62.02","61.01","3,920,600","11/03/23","STK","Yes","1","[object Object]"
"ZM","Zoom Video Communications Cl A","62.99","+1.71","+2.79%","63.31","61.76","3,147,700","11/03/23","STK","Yes","1","[object Object]"
"ZS","Zscaler Inc","164.37","+5.18","+3.25%","166.09","155.51","2,640,700","11/03/23","STK","Yes","1","[object Object]"
