symbol,symbolName,lastPrice,priceChange,percentChange,openPrice,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"RVNC","Revance Therapeutics","9.23","+0.79","+9.36%","8.99","9.28","8.78","1,412,400","11/03/23","STK","Yes","1","[object Object]"
"RWT","Redwood Trust","6.93","+0.23","+3.43%","6.77","7.05","6.76","1,499,800","11/03/23","STK","Yes","1","[object Object]"
"RXO","Rxo Inc","18.48","+0.20","+1.09%","18.70","18.93","18.39","682,400","11/03/23","STK","Yes","1","[object Object]"
"RXRX","Recursion Pharmaceuticals Inc Cl A","5.91","+0.68","+13.00%","5.40","6.16","5.38","6,320,800","11/03/23","STK","Yes","1","[object Object]"
"RXST","Rxsight Inc","24.17","+1.22","+5.32%","23.17","25.16","23.17","760,900","11/03/23","STK","Yes","1","[object Object]"
"RXT","Rackspace Technology Inc","1.4100","+0.0700","+5.22%","1.3700","1.5300","1.3600","1,313,700","11/03/23","STK","Yes","1","[object Object]"
"RYAM","Rayonier Advanced Materials Inc","2.92","+0.19","+6.96%","2.83","2.98","2.80","567,200","11/03/23","STK","Yes","1","[object Object]"
"RYI","Ryerson Holding Corp","28.98","-0.10","-0.34%","29.66","30.00","28.91","354,100","11/03/23","STK","Yes","1","[object Object]"
"RYTM","Rhythm Pharmaceuticals Inc","26.97","+1.98","+7.92%","25.50","28.00","25.50","964,300","11/03/23","STK","Yes","1","[object Object]"
"SABR","Sabre Corp","4.13","-0.01","-0.24%","4.26","4.45","4.09","6,448,500","11/03/23","STK","Yes","1","[object Object]"
"SAFE","Safehold Inc","17.79","+1.15","+6.91%","17.07","18.06","16.94","613,700","11/03/23","STK","Yes","1","[object Object]"
"SAFT","Safety Ins Group Inc","77.98","-0.32","-0.41%","78.96","79.55","77.84","41,000","11/03/23","STK","Yes","1","[object Object]"
"SAGE","Sage Therapeutic Com","21.29","+1.73","+8.84%","19.66","21.38","19.66","1,302,700","11/03/23","STK","Yes","1","[object Object]"
"SAH","Sonic Automotive","52.96","+1.95","+3.82%","51.66","53.55","51.66","228,800","11/03/23","STK","Yes","1","[object Object]"
"SAMG","Silvercrest Ast Cm A","17.74","-0.06","-0.34%","17.81","18.12","17.45","19,200","11/03/23","UIT","Yes","11","[object Object]"
"SANA","Sana Biotechnology Inc","3.53","+0.45","+14.61%","3.16","3.61","3.16","1,734,400","11/03/23","STK","Yes","1","[object Object]"
"SANM","Sanmina Corp","53.36","+1.20","+2.30%","53.09","53.66","52.90","377,300","11/03/23","STK","Yes","1","[object Object]"
"SASR","Sandy Spring Bancorp","22.91","+1.03","+4.71%","21.93","23.05","21.93","196,600","11/03/23","STK","Yes","1","[object Object]"
"SATS","Echostar Corp","15.44","+0.63","+4.25%","15.05","15.76","14.95","740,700","11/03/23","STK","Yes","1","[object Object]"
"SAVA","Cassava Sciences Inc","22.70","-1.54","-6.35%","23.89","25.46","22.61","1,638,900","11/03/23","STK","Yes","1","[object Object]"
"SAVE","Spirit Airlines Inc","11.26","+0.15","+1.35%","11.30","11.56","11.19","5,234,400","11/03/23","STK","Yes","1","[object Object]"
