symbol,symbolName,lastPrice,priceChange,percentChange,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"PPL","PPL Corp","24.57","+0.18","+0.74%","24.62","24.24","5,437,397","18:30 ET","STK","Yes","1","[object Object]"
"PRU","Prudential Financial Inc","91.44","+0.76","+0.84%","91.53","90.43","1,763,092","18:30 ET","STK","Yes","1","[object Object]"
"PSA","Public Storage","238.71","-0.11","-0.05%","246.75","233.18","1,485,248","18:30 ET","STK","Yes","1","[object Object]"
"PSX","Phillips 66","114.07","+1.63","+1.45%","115.23","112.42","3,618,642","18:30 ET","STK","Yes","1","[object Object]"
"PTC","Ptc Inc","140.42","+1.02","+0.73%","140.89","138.35","654,300","10/31/23","STK","Yes","1","[object Object]"
"PWR","Quanta Services","167.12","+2.36","+1.43%","167.68","164.05","1,573,540","18:30 ET","STK","Yes","1","[object Object]"
"PXD","Pioneer Natural Resources Company","239.00","+0.09","+0.04%","240.04","236.32","2,720,519","18:30 ET","STK","Yes","1","[object Object]"
"PYPL","Paypal Holdings","51.80","+0.75","+1.47%","51.89","50.80","12,922,600","10/31/23","STK","Yes","1","[object Object]"
"QCOM","Qualcomm Inc","108.99","+1.16","+1.08%","109.21","106.69","6,476,000","10/31/23","STK","Yes","1","[object Object]"
"QRVO","Qorvo Inc","87.42","+1.35","+1.57%","87.52","85.35","1,594,700","10/31/23","STK","Yes","1","[object Object]"
"RCL","Royal Caribbean Cruises Ltd","84.73","-1.13","-1.32%","86.24","83.25","3,393,522","18:30 ET","STK","Yes","1","[object Object]"
"REG","Regency Centers Corp","60.26","+2.05","+3.52%","60.28","58.40","1,607,500","10/31/23","STK","Yes","1","[object Object]"
"REGN","Regeneron Pharmaceuticals","779.89","+2.22","+0.29%","782.26","772.84","382,200","10/31/23","STK","Yes","1","[object Object]"
"RF","Regions Financial Corp","14.53","+0.31","+2.18%","14.61","14.28","9,568,572","18:30 ET","STK","Yes","1","[object Object]"
"RHI","Robert Half Inc","74.77","+0.72","+0.97%","75.05","73.86","597,480","18:30 ET","STK","Yes","1","[object Object]"
"RJF","Raymond James Financial","95.44","-0.05","-0.05%","95.74","94.53","834,799","18:30 ET","STK","Yes","1","[object Object]"
"RL","Ralph Lauren Corp","112.53","+0.47","+0.42%","112.64","110.10","477,539","18:30 ET","STK","Yes","1","[object Object]"
"RMD","Resmed Inc","141.22","+3.77","+2.74%","142.46","138.55","1,335,062","18:30 ET","STK","Yes","1","[object Object]"
"ROK","Rockwell Automation Inc","262.81","-0.65","-0.25%","265.10","261.62","812,695","18:30 ET","STK","Yes","1","[object Object]"
"ROL","Rollins Inc","37.61","+0.76","+2.06%","37.81","37.14","2,751,044","18:30 ET","STK","Yes","1","[object Object]"
"ROP","Roper Industries","488.57","+3.77","+0.78%","491.60","483.99","843,900","10/31/23","STK","Yes","1","[object Object]"
"ROST","Ross Stores Inc","115.97","+1.27","+1.11%","116.07","114.06","2,397,900","10/31/23","STK","Yes","1","[object Object]"
"RSG","Republic Services","148.49","+1.24","+0.84%","148.68","146.82","865,813","18:30 ET","STK","Yes","1","[object Object]"
"RTX","Rtx Corp","81.39","+2.82","+3.59%","81.55","78.73","18,662,563","18:30 ET","STK","Yes","1","[object Object]"
"RVTY","Revvity Inc","82.85","+0.77","+0.94%","85.00","80.97","2,138,202","18:30 ET","STK","Yes","1","[object Object]"
"SBAC","SBA Communications","208.63","+3.72","+1.82%","209.70","204.81","784,500","10/31/23","STK","Yes","1","[object Object]"
"SBUX","Starbucks Corp","92.24","-0.91","-0.98%","93.32","92.00","9,305,400","10/31/23","STK","Yes","1","[object Object]"
"SCHW","The Charles Schwab Corp","52.04","+1.29","+2.54%","52.17","50.30","13,192,296","18:30 ET","STK","Yes","1","[object Object]"
"SEDG","Solaredge Tech","75.95","+0.91","+1.21%","76.79","74.34","2,656,800","10/31/23","STK","Yes","1","[object Object]"
"SEE","Sealed Air Corp","30.79","-0.70","-2.22%","31.56","30.52","3,284,928","18:30 ET","STK","Yes","1","[object Object]"
"SHW","Sherwin-Williams Company","238.21","+2.79","+1.19%","239.24","235.84","1,249,033","18:30 ET","STK","Yes","1","[object Object]"
"SJM","J.M. Smucker Company","113.84","+0.19","+0.17%","114.42","112.95","1,540,530","18:30 ET","STK","Yes","1","[object Object]"
"SLB","Schlumberger N.V.","55.66","-0.74","-1.31%","56.50","55.44","8,045,635","18:30 ET","STK","Yes","1","[object Object]"
"SNA","Snap-On Inc","257.94","+3.45","+1.36%","259.88","255.04","339,318","18:30 ET","STK","Yes","1","[object Object]"
"SNPS","Synopsys Inc","469.44","+8.50","+1.84%","472.29","459.08","729,700","10/31/23","STK","Yes","1","[object Object]"
"SO","Southern Company","67.30","+0.51","+0.76%","67.60","66.70","4,856,545","18:30 ET","STK","Yes","1","[object Object]"
"SPG","Simon Property Group","109.89","+4.56","+4.33%","110.10","104.93","2,382,494","18:30 ET","STK","Yes","1","[object Object]"
"SPGI","S&P Global Inc","349.31","+4.24","+1.23%","349.41","342.94","1,748,139","18:30 ET","STK","Yes","1","[object Object]"
